iter	Passed	Remaining
806	1580	4295
807	1583	4295
808	1586	4295
809	1589	4297
810	1591	4296
811	1595	4299
812	1600	4304
813	1603	4305
814	1604	4302
815	1607	4301
816	1609	4299
817	1610	4296
818	1612	4293
819	1613	4290
820	1615	4287
821	1617	4285
822	1619	4283
823	1620	4280
824	1622	4277
825	1624	4275
826	1626	4272
827	1627	4269
828	1629	4267
829	1631	4264
830	1632	4262
831	1634	4259
832	1636	4256
833	1637	4253
834	1639	4250
835	1640	4247
836	1642	4244
837	1643	4241
838	1646	4239
839	1647	4236
840	1648	4232
841	1650	4229
842	1651	4226
843	1652	4222
844	1654	4218
845	1655	4214
846	1656	4211
847	1658	4208
848	1660	4207
849	1662	4204
850	1664	4203
851	1666	4201
852	1668	4198
853	1669	4195
854	1671	4192
855	1673	4191
856	1675	4189
857	1677	4186
858	1678	4184
859	1680	4181
860	1683	4181
861	1684	4178
862	1686	4176
863	1688	4173
864	1690	4171
865	1691	4168
866	1693	4165
867	1694	4162
868	1695	4158
869	1697	4155
870	1698	4151
871	1699	4147
872	1701	4144
873	1702	4142
874	1704	4139
875	1705	4136
876	1707	4133
877	1708	4129
878	1710	4126
879	1711	4123
880	1712	4119
881	1714	4117
882	1716	4114
883	1717	4111
884	1719	4108
885	1720	4105
886	1722	4102
887	1723	4098
888	1724	4095
889	1725	4091
890	1727	4089
891	1728	4085
892	1730	4082
893	1731	4079
894	1733	4077
895	1735	4074
896	1736	4071
897	1737	4068
898	1739	4064
899	1741	4063
900	1744	4063
901	1746	4062
902	1748	4060
903	1750	4057
904	1752	4055
905	1754	4054
906	1756	4053
907	1758	4051
908	1760	4050
909	1762	4047
910	1764	4046
911	1766	4043
912	1769	4044
913	1771	4042
914	1773	4041
915	1775	4040
916	1778	4038
917	1779	4036
918	1781	4034
919	1784	4033
920	1785	4031
921	1787	4029
922	1789	4027
923	1792	4026
924	1793	4023
925	1795	4021
926	1797	4019
927	1799	4016
928	1800	4014
929	1802	4012
930	1804	4009
931	1806	4007
932	1807	4004
933	1809	4003
934	1811	4001
935	1813	3998
936	1814	3996
937	1818	3996
938	1822	3999
939	1823	3996
940	1825	3994
941	1827	3991
942	1828	3989
943	1831	3987
944	1834	3989
945	1836	3987
946	1838	3985
947	1839	3982
948	1841	3979
949	1842	3976
950	1844	3973
951	1845	3970
952	1847	3968
953	1849	3965
954	1852	3965
955	1853	3963
956	1855	3961
957	1857	3958
958	1859	3957
959	1861	3955
960	1863	3953
961	1865	3951
962	1867	3949
963	1868	3947
964	1870	3944
965	1871	3941
966	1873	3938
